#SampleID	Canis_familiaris	Homo_sapiens	Soil	Unknown
mixed_sample_1	0.1389	0.5563	0.2733	0.0315
mixed_sample_2	0.2124	0.5288	0.2131	0.0457
mixed_sample_3	0.1076	0.3786	0.4759	0.0379
mixed_sample_4	0.1533	0.7605	0.0537	0.0325
mixed_sample_5	0.1435	0.7878	0.0368	0.0319
mixed_sample_6	0.1965	0.6129	0.1398	0.0508
mixed_sample_7	0.1771	0.7401	0.0448	0.038
mixed_sample_8	0.4491	0.2783	0.2553	0.0173
mixed_sample_9	0.3737	0.4145	0.1757	0.0361
mixed_sample_10	0.6133	0.1558	0.2068	0.0241
mixed_sample_11	0.7555	0.1059	0.1126	0.026
mixed_sample_12	0.2247	0.4939	0.2606	0.0208
mixed_sample_13	0.1684	0.4655	0.3159	0.0502
mixed_sample_14	0.1088	0.3629	0.4914	0.0369
mixed_sample_15	0.1092	0.7972	0.0574	0.0362
mixed_sample_16	0.0984	0.8377	0.0408	0.0231
mixed_sample_17	0.2121	0.617	0.1202	0.0507
mixed_sample_18	0.1544	0.7619	0.0533	0.0304
mixed_sample_19	0.4122	0.3602	0.1968	0.0308
mixed_sample_20	0.3741	0.4112	0.1853	0.0294
mixed_sample_21	0.5664	0.2021	0.2006	0.0309
mixed_sample_22	0.7173	0.1155	0.1402	0.027
mixed_sample_23	0.2266	0.4455	0.2982	0.0297
mixed_sample_24	0.1999	0.5628	0.1997	0.0376
mixed_sample_25	0.1154	0.3829	0.4609	0.0408
mixed_sample_26	0.1088	0.7836	0.0706	0.037
mixed_sample_27	0.0957	0.8368	0.0287	0.0388
mixed_sample_28	0.1755	0.6233	0.1548	0.0464
mixed_sample_29	0.1391	0.7941	0.0338	0.033
mixed_sample_30	0.4233	0.3448	0.2084	0.0235
mixed_sample_31	0.3963	0.3402	0.2386	0.0249
mixed_sample_32	0.5085	0.2055	0.2547	0.0313
mixed_sample_33	0.7516	0.0996	0.1218	0.027
