,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,labs
ERR1914197,145.5278,146.85841,148.87857,147.10439,146.43356,146.0063,146.64197,146.19237,146.66927,146.82126,146.59605,146.79718,145.93187,146.81816,146.28099,Canis_familiaris
ERR1914272,162.40439,165.21062,167.68378,165.82867,166.46848,165.05069,165.36691,164.9981,165.38716,165.4663,165.37088,165.57373,164.35355,165.75099,165.0615,Canis_familiaris
ERR1914092,146.63725,148.32034,149.96793,148.15121,147.6802,147.22527,147.80843,147.33627,147.87813,148.06102,147.74196,147.97766,147.05986,148.01219,147.63216,Canis_familiaris
ERR1914908,169.37128,172.1997,174.41846,172.7767,173.80411,172.6118,173.21306,172.029,173.16832,173.0383,172.9162,173.24573,172.05446,173.3037,171.3675,Canis_familiaris
ERR1914999,129.80347,131.00032,132.01202,131.0512,130.53136,130.212,130.50305,130.7859,130.55826,130.59036,130.38054,130.4672,129.87477,130.2623,130.30583,Canis_familiaris
ERR1914572,138.1863,139.55852,141.23755,139.485,139.2034,138.57545,139.07317,138.85532,139.17818,139.08197,139.05121,139.11052,138.21475,139.03822,138.77649,Canis_familiaris
ERR1914926,187.75392,190.1907,192.98134,190.6684,191.41086,190.13583,190.38582,190.12622,190.34149,190.37,190.53366,190.48735,189.54333,190.54558,189.96571,Canis_familiaris
ERR1914242,125.12691,127.29485,129.92543,127.543724,128.46692,126.87988,127.23706,126.640114,127.19483,127.22901,127.92912,127.44698,126.60663,127.48149,126.87316,Canis_familiaris
ERR1914475,150.98145,152.66624,154.62593,152.76128,153.07967,152.10225,152.64989,151.89488,152.63358,152.87993,152.42923,152.83861,151.74905,152.95094,152.75117,Canis_familiaris
ERR1914938,103.266495,102.017426,100.743195,103.18663,101.05546,101.14378,101.452415,101.48947,100.4721,101.13522,101.42684,100.58502,101.25472,100.90286,100.8849,Canis_familiaris
ERR1914917,187.9647,190.40108,193.19087,190.87875,191.62044,190.34625,190.59625,190.33667,190.5519,190.58057,190.74432,190.69792,189.7542,190.75604,190.17653,Canis_familiaris
ERR1914619,161.96959,164.77568,167.2525,165.39568,166.0357,164.6124,164.93015,164.56094,164.94992,165.03012,164.93346,165.13795,163.91426,165.31473,164.62852,Canis_familiaris
ERR1914543,146.36299,145.58556,142.02133,143.84491,143.64923,143.67198,143.52898,143.7719,142.9986,143.72145,143.46477,142.90384,143.57146,142.98041,143.35426,Canis_familiaris
ERR1914476,148.4497,149.95395,151.83116,150.01907,150.29843,149.38712,150.01591,149.15662,149.96205,150.253,149.73477,150.2041,149.13469,150.28616,150.11942,Canis_familiaris
ERR1914069,149.0728,151.41493,154.03473,153.04591,153.37372,152.12672,152.24649,152.1014,152.42393,152.15192,152.50063,152.71024,151.46692,152.98938,152.11327,Canis_familiaris
ERR1914108,129.63792,130.83508,131.84824,130.88681,130.36705,130.04756,130.33868,130.6213,130.39392,130.42583,130.21643,130.30293,129.7102,130.09828,130.1414,Canis_familiaris
ERR1914652,169.32573,172.15446,174.37303,172.73134,173.75862,172.56638,173.16776,171.98361,173.12299,172.9929,172.87079,173.20036,172.00902,173.25829,171.32225,Canis_familiaris
ERR1914484,149.06648,150.5734,152.45323,150.64037,150.90556,150.00238,150.63106,149.7747,150.57895,150.86923,150.35213,150.81941,149.75159,150.90163,150.73148,Canis_familiaris
ERR1914073,149.01427,151.35675,153.97688,152.98827,153.31602,152.0692,152.1887,152.04384,152.36613,152.09409,152.44298,152.65248,151.40918,152.9317,152.0554,Canis_familiaris
ERR1914029,153.16893,155.44655,157.93027,156.15298,156.66946,155.39336,155.65825,155.281,155.70203,155.71341,155.6233,155.88976,154.70714,156.11914,155.57318,Canis_familiaris
ERR1914262,162.33934,165.1457,167.61995,165.76462,166.40752,164.98701,165.3028,164.93434,165.32285,165.40182,165.30675,165.50961,164.28902,165.68687,164.9968,Canis_familiaris
ERR1914800,109.715904,111.33949,112.96991,111.112595,110.99557,110.18438,110.812035,110.356834,110.96546,110.82034,111.23204,110.925316,110.10324,111.00724,110.63436,Canis_familiaris
ERR1914850,146.36267,145.58498,142.02084,143.84467,143.6488,143.67163,143.52872,143.77153,142.9982,143.72107,143.46437,142.90346,143.57104,142.98,143.35387,Canis_familiaris
ERR1914978,129.78583,130.98274,131.99442,131.0335,130.5137,130.19437,130.48537,130.76822,130.54059,130.57272,130.3629,130.44958,129.85712,130.24472,130.28822,Canis_familiaris
ERR1914553,169.36447,172.1932,174.41176,172.77014,173.79666,172.60504,173.206,172.02249,173.16125,173.03136,172.90944,173.23866,172.04767,173.29665,171.36145,Canis_familiaris
ERR1914227,93.992744,96.25224,96.83565,96.29958,95.5799,96.00989,96.59754,96.87665,96.44511,96.44646,97.07359,96.596535,96.22753,96.454704,96.39948,Canis_familiaris
ERR1914065,149.10887,151.45116,154.07088,153.08199,153.40979,152.16287,152.28264,152.13757,152.46005,152.18811,152.53673,152.74637,151.50305,153.0255,152.14944,Canis_familiaris
ERR1914397,133.36768,135.60432,137.94562,135.49278,136.57751,135.05963,135.15881,135.06935,135.00287,135.02428,136.07367,135.24121,134.30458,135.27496,134.72623,Canis_familiaris
ERR1914070,149.09552,151.43767,154.05733,153.0683,153.3961,152.14928,152.26907,152.12392,152.44649,152.17455,152.52307,152.7327,151.48952,153.01183,152.13591,Canis_familiaris
ERR1914166,82.88197,82.9466,79.600746,82.560646,81.09437,81.272095,86.33569,81.036995,78.100426,84.67451,80.96565,79.361984,80.66071,79.2519,80.81458,Canis_familiaris
ERR1914913,187.63176,190.06989,192.86304,190.54788,191.29233,190.01451,190.26479,190.00491,190.22057,190.24889,190.41212,190.36623,189.42107,190.4246,189.84338,Canis_familiaris
ERR1914812,169.38652,172.21535,174.43382,172.7922,173.81824,172.62701,173.22783,172.04465,173.18315,173.0533,172.93141,173.2606,172.0697,173.3186,171.38397,Canis_familiaris
ERR1914263,157.97806,160.50038,163.11852,161.2452,161.87863,160.45428,160.71219,160.37161,160.75227,160.77237,160.68114,160.93144,159.71417,161.16576,160.54724,Canis_familiaris
ERR1914034,172.47073,175.39955,177.55087,175.97722,176.99617,175.78339,176.22081,175.32808,176.1646,176.10059,176.03876,176.279,175.10986,176.33177,174.61412,Canis_familiaris
ERR1914102,129.7289,130.92606,131.93904,130.9777,130.4579,130.13843,130.42955,130.71216,130.48476,130.51672,130.30724,130.39378,129.80106,130.18916,130.23224,Canis_familiaris
ERR1914411,146.29688,145.51897,141.95486,143.77869,143.58286,143.60565,143.4627,143.70558,142.93224,143.65509,143.39844,142.83752,143.50508,142.91406,143.28792,Canis_familiaris
ERR1914618,153.38283,155.63759,158.10588,156.30779,156.82074,155.54901,155.8245,155.43654,155.8653,155.88818,155.77934,156.0506,154.86928,156.27623,155.74454,Canis_familiaris
ERR1914003,151.9706,153.88432,156.15683,154.32457,154.77147,153.56038,153.93134,153.44164,153.96596,154.07825,153.83594,154.14833,152.9889,154.33809,153.94817,Canis_familiaris
ERR1914844,176.83174,177.08914,173.64062,173.71843,174.53133,174.08983,173.66429,174.24619,173.75,174.55475,174.45668,173.40067,174.02588,174.05833,174.45389,Canis_familiaris
ERR1914206,145.5856,146.9169,148.93701,147.16252,146.49121,146.06424,146.6999,146.25029,146.72737,146.87938,146.65407,146.8551,145.98973,146.87617,146.33897,Canis_familiaris
ERR1914894,154.07097,156.36298,158.92062,157.13124,157.68951,156.41385,156.58627,156.28854,156.61845,156.58588,156.57602,156.80826,155.62009,157.06615,156.44199,Canis_familiaris
ERR1914609,164.14902,166.98174,169.31335,167.4924,168.05385,166.8108,167.16159,166.6991,167.16261,167.26202,167.14522,167.33934,166.18227,167.47252,166.66399,Canis_familiaris
ERR1914236,124.28173,126.41108,129.0214,126.65514,127.58248,125.98064,126.339516,125.74466,126.299934,126.33321,127.02708,126.54842,125.722275,126.57956,125.97727,Canis_familiaris
ERR1914843,146.3387,145.56104,141.9969,143.82063,143.62479,143.64766,143.50468,143.74751,142.97415,143.69708,143.4404,142.87946,143.54707,142.95601,143.3299,Canis_familiaris
ERR1914602,161.89615,164.68993,167.13136,165.27567,165.78688,164.44026,164.79095,164.39868,164.81837,164.91196,164.78932,165.00145,163.7805,165.17256,164.53229,Canis_familiaris
ERR1914723,133.41118,135.64798,137.99017,135.53955,136.62126,135.10414,135.20436,135.11272,135.04927,135.07066,136.11673,135.28731,134.35097,135.32138,134.77272,Canis_familiaris
ERR1914897,154.24435,156.53639,159.09424,157.30453,157.86299,156.5872,156.75963,156.46187,156.79167,156.75897,156.74927,156.98128,155.79309,157.23941,156.61505,Canis_familiaris
ERR1914778,121.68476,120.92031,122.081764,121.60707,121.327286,120.99446,121.38697,121.153404,120.91253,121.02971,121.20341,121.1143,120.84358,120.97001,121.033005,Canis_familiaris
ERR1914011,151.993,153.90674,156.17444,154.34676,154.79442,153.58276,153.95352,153.46417,153.9881,154.10034,153.85823,154.17044,153.01088,154.36038,153.9705,Canis_familiaris
ERR2102825,179.55397,183.3876,184.14723,183.21709,183.40598,183.72728,183.7881,183.45485,183.74652,183.87416,184.43393,183.97809,183.33858,183.93109,183.50089,Homo_sapiens
